machine_load_percent,shift_duration_hours,ambient_temp_c,machine_age_years,equipment_type,power_supply,maintenance_interval,operating_mode,voltage_stability,season,energy_consumed_kwh
58.72244166245997,,23.68325441127152,2.3096486270026406,Pump,Generator,Monthly,Continuous,Stable,Spring,1100.227423042909
78.2218735306543,9.488840291553874,21.236101752199257,13.643749079517113,Pump,Solar,Annual,Intermittent,Stable,Summer,597.0138741757718
89.72125691539271,9.166522487407299,19.02393360199837,0.13177852178206162,,Generator,Monthly,Continuous,Stable,Spring,197.6975374947576
47.98177275959157,8.316915768660948,25.07559262351235,6.519074944177129,Furnace,Grid,Monthly,Intermittent,Stable,Winter,
95.11968723435808,11.083868241049744,32.049598805027394,0.32218574459395355,Furnace,Generator,Monthly,,Unstable,Winter,125.37835758962764
42.05627374577866,9.681819457152129,33.93830379857834,7.8503676871789905,Compressor,Solar,Monthly,Batch,Unstable,Autumn,165.31611428205602
45.70638041410804,11.255892715044974,34.44109745878443,6.182342306270466,Motor,Solar,Monthly,Batch,Unstable,Autumn,625.1237094805316
90.28768834731846,11.342908951686235,25.62756676952629,9.345929056733072,Compressor,Grid,Weekly,Continuous,Stable,Autumn,1167.2206709253467
69.56222960905325,8.854389559607158,27.105206910923773,11.496661771017319,Furnace,Generator,Weekly,Intermittent,Unstable,Spring,1984.8417073494643
96.35529125625263,9.685320455195296,26.630795293643384,11.528628436180277,,Grid,Monthly,Batch,Unstable,Autumn,226.7510720147133
67.69917979547324,10.883896020836142,,10.833324005121439,Compressor,Grid,Annual,Intermittent,Unstable,Spring,
95.56737915734651,9.997984614699586,18.04479628633476,1.5281616266610198,Motor,Grid,Quarterly,Intermittent,Moderate,,1223.4189409673697
54.37777753784166,11.420272921611884,16.30917373531161,6.261577892167324,Furnace,,Quarterly,,Stable,Summer,1655.0552188768238
76.98697736611459,10.286276030853626,23.73275791395247,12.23925747097841,Compressor,Grid,Annual,Continuous,Unstable,Spring,1394.7471344743624
99.66808017674529,10.518323871434266,18.723353905553367,9.81450272225991,Compressor,Grid,Weekly,Intermittent,Unstable,Summer,1625.0960802429438
62.56376848345886,11.148093858178822,32.73303490163319,10.215418573915917,Pump,Generator,Quarterly,Intermittent,Stable,Winter,1068.8145638807641
40.087281070532775,8.488888430514045,,3.4038904801436773,Pump,Grid,Annual,Continuous,Stable,Winter,896.2430668327346
43.84313232892234,10.336992951672219,27.36813407955183,4.875897914112391,Furnace,Grid,Monthly,Continuous,Unstable,Spring,1256.5202186869408
91.54357621280269,8.34171947505659,15.948239501883577,14.337168163213914,Compressor,Generator,Annual,Batch,Moderate,Winter,1806.6980784885916
69.51313810928124,9.042204494148155,27.444908283467164,12.703878858874706,Furnace,Solar,Monthly,Batch,Unstable,Summer,1124.1519662141238
72.20309190326225,8.850286825698316,27.42138397442109,2.473826050669852,Motor,Generator,Monthly,Continuous,Moderate,Autumn,1230.906582423875
87.96556628054164,10.268304362647362,23.784225154576042,8.170396064785232,Furnace,Generator,Monthly,Continuous,Stable,Autumn,709.0534987644027
,11.37560951356181,28.155059817640684,7.357609009921386,Furnace,Solar,,Intermittent,Stable,Spring,1212.436818822225
68.6452784791274,8.531238438202063,,6.65489788815025,Compressor,Generator,Annual,Continuous,Moderate,Winter,1274.1400394920784
91.48364660610291,11.073586110588339,,7.059203570609786,Motor,Solar,Quarterly,Intermittent,Stable,Autumn,1519.1796977745819
68.10549750038061,8.572264501690995,24.468684058385556,9.643327648087736,Furnace,Grid,Quarterly,Batch,Moderate,Autumn,1165.7445552753084
80.50128246244088,8.758686851393708,20.245689966788824,14.507241253154843,,Generator,Monthly,Batch,Unstable,,435.22307459699215
42.0017098636928,11.667760789020264,24.556745929284297,,Motor,Solar,Monthly,Intermittent,Unstable,Spring,1184.7558642988038
,8.038916622026619,33.91941672024652,13.12689605405432,Compressor,Grid,Quarterly,Batch,Stable,Winter,630.8492476988876
91.08520223521694,,,10.550650996051662,,Solar,Annual,Intermittent,Stable,Winter,220.28276533139237
58.787105338255884,8.862224365113674,15.540793795029925,0.26381451378672705,Motor,Solar,Quarterly,Intermittent,Stable,Autumn,1659.594606346729
60.08463643567582,9.127522253523907,30.659265020215507,6.606907994081071,Compressor,,Monthly,Intermittent,Moderate,,178.84062000898754
79.77947182833688,9.453646828377744,18.411152758235513,7.666893527616965,Compressor,Generator,Quarterly,Continuous,Stable,Winter,1281.8213083009612
75.5522890437967,8.41271204735493,26.422226660755424,12.63736957538496,Motor,Grid,Monthly,Batch,Unstable,Autumn,1977.56449534898
44.93131843893932,9.873817119532136,31.130350755599206,13.84263091718583,Motor,Solar,Annual,Batch,,Spring,220.8573843723691
